Battle,(30/0),(29/0),(28/0),(27/0),(26/0),(25/0),(24/0),(23/0),(22/0),(21/0),(20/0),(19/0),(18/0),(17/0),(16/0),(15/0),(14/0),(13/0),(12/0),(11/0),(10/0),(9/0),(8/0),(7/0),(6/0),(5/0),(4/0),(3/0),(2/0),(1/1),(1/2),(1/3),(1/4),(1/5),(1/6),(1/7),(1/8),(1/9),(1/10),(1/11),(1/12),(1/13),(1/14),(1/15),(1/16),(1/17),(1/18),(1/19),(1/20),(1/21),(1/22),(1/23),(1/24),(1/25),(1/26),(1/27),(1/28),(1/29),(1/30),Win
(30/30),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.008,0.012,0.015,0.020,0.024,0.029,0.033,0.039,0.042,0.047,0.048,0.052,0.051,0.053,0.050,0.051,0.032,0.015,0.021,0.039,0.040,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633
(30/29),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.018,0.023,0.028,0.033,0.038,0.042,0.047,0.048,0.052,0.051,0.054,0.051,0.052,0.047,0.030,0.015,0.021,0.040,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.672
(30/28),0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.009,0.013,0.017,0.022,0.027,0.032,0.038,0.042,0.047,0.049,0.053,0.052,0.055,0.052,0.053,0.048,0.048,0.029,0.014,0.020,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714
(30/27),0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.008,0.011,0.016,0.020,0.026,0.031,0.037,0.041,0.047,0.049,0.054,0.053,0.056,0.053,0.054,0.049,0.049,0.043,0.027,0.013,0.019,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750
(30/26),0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.010,0.014,0.019,0.025,0.030,0.036,0.041,0.047,0.049,0.054,0.054,0.057,0.054,0.055,0.051,0.050,0.044,0.043,0.026,0.012,0.017,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.787
(30/25),0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.009,0.013,0.018,0.023,0.029,0.035,0.040,0.047,0.050,0.055,0.055,0.058,0.055,0.057,0.052,0.051,0.045,0.044,0.037,0.023,0.011,0.016,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.819
(30/24),0.000,0.000,0.000,0.001,0.001,0.003,0.004,0.007,0.011,0.016,0.022,0.027,0.034,0.040,0.046,0.050,0.055,0.056,0.059,0.057,0.058,0.053,0.053,0.046,0.045,0.038,0.036,0.021,0.010,0.014,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851
(30/23),0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.010,0.014,0.020,0.026,0.033,0.039,0.046,0.050,0.056,0.057,0.061,0.058,0.060,0.055,0.054,0.048,0.046,0.039,0.037,0.030,0.018,0.009,0.013,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.877
(30/22),0.000,0.000,0.000,0.001,0.002,0.005,0.008,0.012,0.018,0.024,0.031,0.038,0.045,0.050,0.056,0.058,0.062,0.060,0.061,0.056,0.056,0.049,0.047,0.040,0.038,0.031,0.028,0.016,0.008,0.011,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.902
(30/21),0.000,0.000,0.001,0.002,0.004,0.006,0.011,0.016,0.022,0.030,0.037,0.045,0.050,0.057,0.059,0.063,0.061,0.063,0.058,0.058,0.051,0.049,0.041,0.038,0.031,0.029,0.023,0.014,0.007,0.009,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.922
(30/20),0.000,0.000,0.001,0.002,0.005,0.009,0.014,0.020,0.028,0.035,0.044,0.050,0.057,0.060,0.065,0.063,0.065,0.060,0.059,0.052,0.050,0.042,0.039,0.032,0.029,0.023,0.020,0.012,0.005,0.007,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940
(30/19),0.000,0.000,0.001,0.003,0.007,0.011,0.018,0.025,0.033,0.042,0.049,0.057,0.061,0.066,0.065,0.067,0.062,0.061,0.054,0.052,0.043,0.040,0.033,0.030,0.023,0.021,0.016,0.009,0.004,0.006,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955
(30/18),0.000,0.001,0.002,0.005,0.009,0.015,0.023,0.031,0.041,0.049,0.057,0.061,0.067,0.067,0.069,0.064,0.063,0.056,0.053,0.045,0.041,0.033,0.030,0.023,0.021,0.016,0.013,0.007,0.003,0.005,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967
(30/17),0.000,0.001,0.003,0.007,0.013,0.020,0.029,0.039,0.048,0.057,0.062,0.069,0.069,0.071,0.066,0.066,0.058,0.055,0.046,0.042,0.034,0.030,0.024,0.021,0.015,0.013,0.010,0.006,0.003,0.004,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976
(30/16),0.000,0.002,0.005,0.010,0.017,0.026,0.036,0.046,0.057,0.063,0.070,0.071,0.074,0.069,0.068,0.060,0.057,0.047,0.044,0.035,0.031,0.024,0.021,0.015,0.013,0.009,0.008,0.004,0.002,0.003,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.984
(30/15),0.001,0.003,0.007,0.013,0.023,0.033,0.044,0.056,0.063,0.072,0.073,0.077,0.072,0.071,0.062,0.059,0.049,0.045,0.035,0.031,0.024,0.021,0.015,0.013,0.009,0.008,0.005,0.003,0.001,0.002,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989
(30/14),0.001,0.004,0.010,0.019,0.030,0.042,0.054,0.064,0.073,0.076,0.080,0.075,0.074,0.065,0.061,0.050,0.046,0.036,0.032,0.024,0.021,0.015,0.013,0.009,0.007,0.005,0.004,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.993
(30/13),0.002,0.006,0.014,0.025,0.039,0.052,0.064,0.075,0.078,0.083,0.078,0.078,0.068,0.064,0.052,0.047,0.037,0.032,0.024,0.021,0.015,0.012,0.009,0.007,0.005,0.004,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.995
(30/12),0.003,0.009,0.020,0.034,0.049,0.063,0.076,0.081,0.087,0.082,0.082,0.071,0.067,0.054,0.049,0.038,0.033,0.024,0.020,0.014,0.012,0.008,0.007,0.004,0.004,0.002,0.002,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997
(30/11),0.005,0.013,0.029,0.045,0.062,0.077,0.084,0.091,0.087,0.087,0.075,0.070,0.056,0.050,0.038,0.033,0.024,0.020,0.014,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998
(30/10),0.007,0.021,0.039,0.059,0.077,0.087,0.096,0.092,0.092,0.079,0.074,0.059,0.052,0.039,0.033,0.024,0.020,0.014,0.011,0.007,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
(30/9),0.013,0.030,0.054,0.075,0.090,0.101,0.099,0.098,0.085,0.078,0.061,0.054,0.040,0.033,0.023,0.019,0.013,0.010,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/8),0.019,0.045,0.073,0.093,0.108,0.106,0.106,0.091,0.083,0.064,0.056,0.040,0.033,0.023,0.018,0.012,0.009,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/7),0.034,0.063,0.095,0.114,0.116,0.116,0.098,0.089,0.068,0.057,0.041,0.033,0.022,0.017,0.011,0.009,0.005,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/6),0.051,0.092,0.123,0.128,0.129,0.108,0.097,0.071,0.059,0.041,0.032,0.021,0.016,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/5),0.091,0.124,0.147,0.145,0.122,0.105,0.076,0.061,0.040,0.031,0.019,0.014,0.008,0.006,0.004,0.003,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/4),0.138,0.165,0.179,0.140,0.120,0.080,0.063,0.039,0.029,0.017,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/3),0.245,0.208,0.175,0.132,0.085,0.061,0.035,0.024,0.013,0.009,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/2),0.372,0.222,0.184,0.090,0.063,0.029,0.019,0.009,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(30/1),0.660,0.224,0.076,0.026,0.009,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(29/30),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.008,0.012,0.015,0.020,0.024,0.029,0.033,0.039,0.042,0.047,0.048,0.052,0.051,0.053,0.050,0.032,0.016,0.023,0.044,0.040,0.041,0.036,0.037,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.584
(29/29),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.018,0.023,0.028,0.033,0.038,0.042,0.047,0.048,0.052,0.051,0.054,0.051,0.052,0.032,0.016,0.022,0.040,0.041,0.036,0.037,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.629
(29/28),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.009,0.013,0.017,0.022,0.027,0.032,0.038,0.042,0.047,0.049,0.053,0.052,0.055,0.052,0.053,0.048,0.031,0.015,0.021,0.041,0.036,0.037,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.669
(29/27),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.008,0.011,0.016,0.020,0.026,0.031,0.037,0.041,0.047,0.049,0.054,0.053,0.056,0.053,0.054,0.049,0.049,0.030,0.014,0.020,0.036,0.037,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.711
(29/26),0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.010,0.014,0.019,0.025,0.030,0.036,0.041,0.047,0.049,0.054,0.054,0.057,0.054,0.055,0.051,0.050,0.044,0.028,0.014,0.019,0.037,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.748
(29/25),0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.009,0.013,0.018,0.023,0.029,0.035,0.040,0.047,0.050,0.055,0.055,0.058,0.055,0.057,0.052,0.051,0.045,0.044,0.026,0.012,0.017,0.031,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.786
(29/24),0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.004,0.007,0.011,0.016,0.022,0.027,0.034,0.040,0.046,0.050,0.055,0.056,0.059,0.057,0.058,0.053,0.053,0.046,0.045,0.038,0.024,0.012,0.016,0.030,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.819
(29/23),0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.010,0.014,0.020,0.026,0.033,0.039,0.046,0.050,0.056,0.057,0.061,0.058,0.060,0.055,0.054,0.048,0.046,0.039,0.037,0.022,0.010,0.014,0.025,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851
(29/22),0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.008,0.012,0.018,0.024,0.031,0.038,0.045,0.050,0.056,0.058,0.062,0.060,0.061,0.056,0.056,0.049,0.047,0.040,0.038,0.031,0.019,0.009,0.013,0.024,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.878
(29/21),0.000,0.000,0.000,0.001,0.002,0.004,0.006,0.011,0.016,0.022,0.030,0.037,0.045,0.050,0.057,0.059,0.063,0.061,0.063,0.058,0.058,0.051,0.049,0.041,0.038,0.031,0.029,0.017,0.008,0.011,0.019,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.903
(29/20),0.000,0.000,0.000,0.001,0.002,0.005,0.009,0.014,0.020,0.028,0.035,0.044,0.050,0.057,0.060,0.065,0.063,0.065,0.060,0.059,0.052,0.050,0.042,0.039,0.032,0.029,0.023,0.014,0.007,0.009,0.017,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.924
(29/19),0.000,0.000,0.000,0.001,0.003,0.007,0.011,0.018,0.025,0.033,0.042,0.049,0.057,0.061,0.066,0.065,0.067,0.062,0.061,0.054,0.052,0.043,0.040,0.033,0.030,0.023,0.021,0.012,0.005,0.007,0.013,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.942
(29/18),0.000,0.000,0.001,0.002,0.005,0.009,0.015,0.023,0.031,0.041,0.049,0.057,0.061,0.067,0.067,0.069,0.064,0.063,0.056,0.053,0.045,0.041,0.033,0.030,0.023,0.021,0.016,0.009,0.004,0.006,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956
(29/17),0.000,0.000,0.001,0.003,0.007,0.013,0.020,0.029,0.039,0.048,0.057,0.062,0.069,0.069,0.071,0.066,0.066,0.058,0.055,0.046,0.042,0.034,0.030,0.024,0.021,0.015,0.013,0.007,0.003,0.005,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969
(29/16),0.000,0.000,0.002,0.005,0.010,0.017,0.026,0.036,0.046,0.057,0.063,0.070,0.071,0.074,0.069,0.068,0.060,0.057,0.047,0.044,0.035,0.031,0.024,0.021,0.015,0.013,0.009,0.005,0.003,0.004,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977
(29/15),0.000,0.001,0.003,0.007,0.013,0.023,0.033,0.044,0.056,0.063,0.072,0.073,0.077,0.072,0.071,0.062,0.059,0.049,0.045,0.035,0.031,0.024,0.021,0.015,0.013,0.009,0.008,0.004,0.002,0.003,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.985
(29/14),0.000,0.001,0.004,0.010,0.019,0.030,0.042,0.054,0.064,0.073,0.076,0.080,0.075,0.074,0.065,0.061,0.050,0.046,0.036,0.032,0.024,0.021,0.015,0.013,0.009,0.007,0.005,0.003,0.001,0.002,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990
(29/13),0.000,0.002,0.006,0.014,0.025,0.039,0.052,0.064,0.075,0.078,0.083,0.078,0.078,0.068,0.064,0.052,0.047,0.037,0.032,0.024,0.021,0.015,0.012,0.009,0.007,0.005,0.004,0.002,0.001,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.994
(29/12),0.000,0.003,0.009,0.020,0.034,0.049,0.063,0.076,0.081,0.087,0.082,0.082,0.071,0.067,0.054,0.049,0.038,0.033,0.024,0.020,0.014,0.012,0.008,0.007,0.004,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996
(29/11),0.000,0.005,0.013,0.029,0.045,0.062,0.077,0.084,0.091,0.087,0.087,0.075,0.070,0.056,0.050,0.038,0.033,0.024,0.020,0.014,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998
(29/10),0.000,0.007,0.021,0.039,0.059,0.077,0.087,0.096,0.092,0.092,0.079,0.074,0.059,0.052,0.039,0.033,0.024,0.020,0.014,0.011,0.007,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
(29/9),0.000,0.013,0.030,0.054,0.075,0.090,0.101,0.099,0.098,0.085,0.078,0.061,0.054,0.040,0.033,0.023,0.019,0.013,0.010,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
(29/8),0.000,0.019,0.045,0.073,0.093,0.108,0.106,0.106,0.091,0.083,0.064,0.056,0.040,0.033,0.023,0.018,0.012,0.009,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(29/7),0.000,0.034,0.063,0.095,0.114,0.116,0.116,0.098,0.089,0.068,0.057,0.041,0.033,0.022,0.017,0.011,0.009,0.005,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(29/6),0.000,0.051,0.092,0.123,0.128,0.129,0.108,0.097,0.071,0.059,0.041,0.032,0.021,0.016,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
