Battle,(50/0),(49/0),(48/0),(47/0),(46/0),(45/0),(44/0),(43/0),(42/0),(41/0),(40/0),(39/0),(38/0),(37/0),(36/0),(35/0),(34/0),(33/0),(32/0),(31/0),(30/0),(29/0),(28/0),(27/0),(26/0),(25/0),(24/0),(23/0),(22/0),(21/0),(20/0),(19/0),(18/0),(17/0),(16/0),(15/0),(14/0),(13/0),(12/0),(11/0),(10/0),(9/0),(8/0),(7/0),(6/0),(5/0),(4/0),(3/0),(2/0),(1/1),(1/2),(1/3),(1/4),(1/5),(1/6),(1/7),(1/8),(1/9),(1/10),(1/11),(1/12),(1/13),(1/14),(1/15),(1/16),(1/17),(1/18),(1/19),(1/20),(1/21),(1/22),(1/23),(1/24),(1/25),(1/26),(1/27),(1/28),(1/29),(1/30),(1/31),(1/32),(1/33),(1/34),(1/35),(1/36),(1/37),(1/38),(1/39),(1/40),(1/41),(1/42),(1/43),(1/44),(1/45),(1/46),(1/47),(1/48),(1/49),(1/50),Win
(44/49),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.010,0.012,0.015,0.017,0.021,0.023,0.026,0.028,0.032,0.033,0.036,0.036,0.039,0.039,0.041,0.039,0.025,0.013,0.018,0.035,0.033,0.035,0.032,0.033,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518
(44/48),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.006,0.008,0.010,0.012,0.015,0.017,0.020,0.022,0.026,0.028,0.031,0.033,0.036,0.037,0.039,0.039,0.041,0.040,0.041,0.026,0.013,0.018,0.033,0.035,0.032,0.033,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.554
(44/47),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.003,0.004,0.006,0.007,0.009,0.011,0.014,0.016,0.019,0.022,0.025,0.027,0.031,0.033,0.036,0.037,0.040,0.039,0.041,0.040,0.042,0.039,0.025,0.013,0.018,0.035,0.032,0.033,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.586
(44/46),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.003,0.004,0.005,0.007,0.009,0.011,0.013,0.016,0.019,0.021,0.025,0.027,0.031,0.032,0.036,0.037,0.040,0.039,0.042,0.040,0.042,0.040,0.041,0.026,0.012,0.017,0.032,0.033,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.622
(44/45),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.003,0.005,0.006,0.008,0.010,0.013,0.015,0.018,0.021,0.024,0.027,0.030,0.032,0.036,0.037,0.040,0.040,0.042,0.041,0.043,0.040,0.041,0.038,0.024,0.012,0.017,0.033,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.653
(44/44),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.003,0.004,0.006,0.007,0.009,0.012,0.014,0.017,0.020,0.024,0.026,0.030,0.032,0.036,0.037,0.040,0.040,0.043,0.041,0.043,0.041,0.042,0.039,0.039,0.024,0.012,0.016,0.030,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.687
(44/43),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.005,0.007,0.009,0.011,0.014,0.017,0.019,0.023,0.026,0.030,0.032,0.036,0.037,0.040,0.040,0.043,0.042,0.044,0.041,0.043,0.039,0.040,0.036,0.023,0.011,0.016,0.031,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717
(44/42),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.003,0.005,0.006,0.008,0.011,0.013,0.016,0.019,0.023,0.025,0.029,0.031,0.035,0.037,0.040,0.041,0.043,0.042,0.044,0.042,0.043,0.040,0.040,0.036,0.036,0.022,0.011,0.015,0.027,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749
(44/41),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.007,0.010,0.012,0.015,0.018,0.022,0.025,0.029,0.031,0.035,0.037,0.040,0.041,0.044,0.043,0.045,0.043,0.044,0.041,0.041,0.037,0.037,0.033,0.020,0.010,0.014,0.027,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.776
(44/40),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.004,0.005,0.007,0.009,0.011,0.015,0.017,0.021,0.024,0.028,0.031,0.035,0.037,0.040,0.041,0.044,0.043,0.045,0.043,0.045,0.041,0.042,0.038,0.037,0.033,0.032,0.020,0.009,0.013,0.023,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.805
(44/39),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.017,0.020,0.023,0.028,0.030,0.035,0.037,0.040,0.041,0.044,0.044,0.046,0.044,0.045,0.042,0.042,0.038,0.038,0.034,0.033,0.028,0.018,0.009,0.012,0.023,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.829
(44/38),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.010,0.013,0.016,0.020,0.023,0.027,0.030,0.034,0.036,0.041,0.041,0.045,0.044,0.047,0.045,0.046,0.043,0.043,0.039,0.039,0.034,0.033,0.029,0.028,0.017,0.008,0.011,0.020,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.853
(44/37),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.015,0.019,0.022,0.026,0.029,0.034,0.036,0.040,0.042,0.045,0.045,0.047,0.045,0.047,0.044,0.044,0.040,0.040,0.035,0.034,0.029,0.028,0.024,0.015,0.007,0.010,0.019,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.874
(44/36),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.021,0.026,0.029,0.033,0.036,0.040,0.042,0.045,0.045,0.048,0.046,0.048,0.044,0.045,0.041,0.040,0.036,0.035,0.030,0.029,0.024,0.023,0.014,0.006,0.009,0.016,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894
(44/35),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.004,0.005,0.008,0.010,0.013,0.017,0.020,0.025,0.028,0.033,0.036,0.040,0.042,0.046,0.046,0.048,0.047,0.048,0.045,0.046,0.041,0.041,0.036,0.035,0.030,0.029,0.025,0.023,0.019,0.012,0.006,0.008,0.015,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.911
(44/34),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.016,0.019,0.024,0.028,0.032,0.035,0.040,0.042,0.046,0.046,0.049,0.047,0.049,0.046,0.047,0.042,0.042,0.037,0.036,0.031,0.030,0.025,0.023,0.019,0.018,0.011,0.005,0.007,0.012,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927
(44/33),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.015,0.018,0.023,0.027,0.032,0.035,0.040,0.042,0.046,0.047,0.050,0.048,0.050,0.047,0.047,0.043,0.043,0.038,0.037,0.032,0.030,0.025,0.024,0.020,0.018,0.015,0.009,0.004,0.006,0.011,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940
(44/32),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.017,0.022,0.026,0.031,0.035,0.040,0.042,0.046,0.047,0.050,0.049,0.051,0.048,0.048,0.044,0.044,0.039,0.037,0.032,0.031,0.026,0.024,0.020,0.018,0.015,0.013,0.008,0.004,0.005,0.009,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952
(44/31),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.004,0.007,0.009,0.013,0.016,0.021,0.025,0.030,0.034,0.039,0.042,0.047,0.047,0.051,0.050,0.052,0.049,0.049,0.045,0.045,0.039,0.038,0.033,0.031,0.026,0.025,0.020,0.019,0.015,0.013,0.011,0.006,0.003,0.004,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961
(44/30),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.008,0.012,0.015,0.020,0.024,0.029,0.033,0.039,0.042,0.047,0.048,0.052,0.051,0.053,0.050,0.051,0.046,0.046,0.040,0.039,0.034,0.032,0.027,0.025,0.020,0.019,0.015,0.014,0.011,0.009,0.005,0.002,0.003,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970
(44/29),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.018,0.023,0.028,0.033,0.038,0.042,0.047,0.048,0.052,0.051,0.054,0.051,0.052,0.047,0.047,0.041,0.040,0.034,0.032,0.027,0.025,0.021,0.019,0.015,0.014,0.011,0.009,0.007,0.004,0.002,0.003,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976
(44/28),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.009,0.013,0.017,0.022,0.027,0.032,0.038,0.042,0.047,0.049,0.053,0.052,0.055,0.052,0.053,0.048,0.048,0.042,0.041,0.035,0.033,0.028,0.026,0.021,0.019,0.015,0.014,0.011,0.009,0.007,0.006,0.004,0.002,0.002,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.982
(44/27),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.008,0.011,0.016,0.020,0.026,0.031,0.037,0.041,0.047,0.049,0.054,0.053,0.056,0.053,0.054,0.049,0.049,0.043,0.042,0.036,0.034,0.028,0.026,0.021,0.019,0.015,0.014,0.011,0.009,0.007,0.006,0.005,0.003,0.001,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.986
(44/26),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.010,0.014,0.019,0.025,0.030,0.036,0.041,0.047,0.049,0.054,0.054,0.057,0.054,0.055,0.051,0.050,0.044,0.043,0.036,0.034,0.029,0.026,0.021,0.019,0.015,0.014,0.011,0.009,0.007,0.006,0.005,0.004,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990
(44/25),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.009,0.013,0.018,0.023,0.029,0.035,0.040,0.047,0.050,0.055,0.055,0.058,0.055,0.057,0.052,0.051,0.045,0.044,0.037,0.035,0.029,0.027,0.022,0.020,0.015,0.014,0.011,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.993
(44/24),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.004,0.007,0.011,0.016,0.022,0.027,0.034,0.040,0.046,0.050,0.055,0.056,0.059,0.057,0.058,0.053,0.053,0.046,0.045,0.038,0.036,0.030,0.027,0.022,0.020,0.015,0.014,0.011,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.995
(44/23),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.010,0.014,0.020,0.026,0.033,0.039,0.046,0.050,0.056,0.057,0.061,0.058,0.060,0.055,0.054,0.048,0.046,0.039,0.037,0.030,0.028,0.022,0.020,0.016,0.014,0.010,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996
(44/22),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.008,0.012,0.018,0.024,0.031,0.038,0.045,0.050,0.056,0.058,0.062,0.060,0.061,0.056,0.056,0.049,0.047,0.040,0.038,0.031,0.028,0.022,0.020,0.016,0.014,0.010,0.009,0.007,0.006,0.004,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998
(44/21),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.006,0.011,0.016,0.022,0.030,0.037,0.045,0.050,0.057,0.059,0.063,0.061,0.063,0.058,0.058,0.051,0.049,0.041,0.038,0.031,0.029,0.023,0.020,0.016,0.014,0.010,0.009,0.007,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998
(44/20),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.009,0.014,0.020,0.028,0.035,0.044,0.050,0.057,0.060,0.065,0.063,0.065,0.060,0.059,0.052,0.050,0.042,0.039,0.032,0.029,0.023,0.020,0.016,0.014,0.010,0.009,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
(44/19),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.007,0.011,0.018,0.025,0.033,0.042,0.049,0.057,0.061,0.066,0.065,0.067,0.062,0.061,0.054,0.052,0.043,0.040,0.033,0.030,0.023,0.021,0.016,0.014,0.010,0.009,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
(44/18),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.009,0.015,0.023,0.031,0.041,0.049,0.057,0.061,0.067,0.067,0.069,0.064,0.063,0.056,0.053,0.045,0.041,0.033,0.030,0.023,0.021,0.016,0.013,0.010,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(44/17),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.007,0.013,0.020,0.029,0.039,0.048,0.057,0.062,0.069,0.069,0.071,0.066,0.066,0.058,0.055,0.046,0.042,0.034,0.030,0.024,0.021,0.015,0.013,0.010,0.008,0.006,0.005,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
